system|sub_system|sub_sub_system|department
SWITCH 3|Fallback Control Panel|Magnetic Contactor Assembly H35, Forward - Reverse with Thermal Overload (HITACHI)|TNMD
SWITCH 3|Fallback Control Panel|Magnetic Contactor Assembly H20, Forward - Reverse (HITACHI)|TNMD
SWITCH 3|Fallback Control Panel|Magnetic Contactor Assembly H11, Forward - Reverse with Thermal Overload (HITACHI)|TNMD
SWITCH 3|Fallback Control Panel|Compact Fluorescent Light 10W 240Vac (GENERIC)|TNMD
SWITCH 3|Fallback Control Panel|Anti Condensation Heater 240Vac 25W (GENERIC)|TNMD
SWITCH 3|Fallback Control Panel|240Vac Receptacle (GENERIC)|TNMD
SWITCH 3|Fallback Control Panel|DC Neutral Relay (Safety Relay) 24Vdc Coil (NIPPON SIGNAL)|TNMD
SWITCH 3|Fallback Control Panel|DC Neutral Relay Base (NIPPON SIGNAL)|TNMD
SWITCH 3|Fallback Control Panel|General Purpose Under-voltage Relay, 110Vac (OMRON)|TNMD
SWITCH 3|Fallback Control Panel|Silicon Rectifier (NIPPON SIGNAL)|TNMD
SWITCH 3|Fallback Control Panel|General Purpose Timer, Delay-Off Adjustable (OMRON)|TNMD
SWITCH 3|Fallback Control Panel|Control Transformer, 240V - 120V, 1000VA|TNMD
SWITCH 3|Fallback Control Panel|Switch OFF - ON 240Vac|TNMD
SWITCH 3|Fallback Control Panel|2 Position key-switch, 1 N/O and 2 N/C contacts, stay put with key withdrawal on LH (Telemecanique ZBE-101)|TNMD
SWITCH 3|Fallback Control Panel|Lightning Arrester, TDS 277V 80kA SURGE SUPPRESSOR (ERICO)|TNMD
SWITCH 3|Fallback Control Panel|Lightning Arrester, 1 PHASE, 50kA 8/2us, 10A SERIES TVSS protector (ERICO)|TNMD
SWITCH 3|Fallback Control Panel|Phase Sequence/Failure Relay (ANV)|TNMD
SWITCH 3|Electrial Part|Attach Sensor & Limit Switch|TNMD
SWITCH 4|Switchdeck & RC Beam|Flipper|TNMD
SWITCH 4|Carriage Including Carriage Wheel|Roller|TNMD
SWITCH 4|Lockpin|Attach Sensor & Limit Switch on Lockpin|TNMD
