work_order_no|notification_no|created_on|date_closed|station|system|sub_system|sub_sub_system|root_cause|check_system|check_sub_system|check_sub_sub_system|check_root_cause
4000549666|12156243|2023-08-20 17:58:17|2023-08-20 17:58:17|TUN|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000549727|12156402|2023-08-21 12:35:12|2023-08-21 12:35:12|MAH|PA - PIS|HELP POINT|Spiral Cable|System hang|True|True|True|True
4000550712|12157341|2023-08-25 07:07:27|2023-08-25 07:07:27|BAS|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000554091|12165004|2023-09-06 17:22:50|2023-09-06 17:22:50|IBI|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000553677|12165473|2023-09-08 03:11:50|2023-09-08 03:11:50|BFZ|Others|Others|Others|Others|False|False|False|False
4000554078|12167676|2023-09-13 14:00:29|2023-09-13 14:00:29|SSZ|Others|Others|Others|Others|False|False|False|False
4000554079|12167638|2023-09-13 11:29:44|2023-09-13 11:29:44|IBI|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000554179|12168069|2023-09-14 21:13:13|2023-09-14 21:13:13|HAH|INTERLOCKING SYSTEM|LINESIDE ELECTRONIC UNIT (LEU)|BALISE|System intermittent|True|True|True|True
4000554178|12168092|2023-09-15 06:28:04|2023-09-15 06:28:04|BFZ|INTERLOCKING SYSTEM|LINESIDE ELECTRONIC UNIT (LEU)|BALISE|System intermittent|True|True|True|True
4000556214|12169827|2023-09-19 11:32:38|2023-09-19 11:32:38|TUN|INTERLOCKING SYSTEM|MEI/MESD|FRONTAL PING/ESD|Fan problem|True|True|True|True
4000556210|12170873|2023-09-22 08:02:21|2023-09-22 08:02:21|HAH|INTERLOCKING SYSTEM|MEI/MESD|FRONTAL PING/ESD|No power|True|True|True|True
4000559038|12180213|2023-10-07 18:01:41|2023-10-07 18:01:41|BFZ|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000560102|12182692|2023-10-14 08:10:28|2023-10-14 08:10:28|RAN|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000561773|12184110|2023-10-18 15:13:29|2023-10-18 15:13:29|BFZ|INTERLOCKING SYSTEM|LINESIDE ELECTRONIC UNIT (LEU)|BALISE|System intermittent|True|True|True|True
4000561766|12185659|2023-10-23 07:43:46|2023-10-23 07:43:46|TUN|PA - PIS|PIDS|Network Switch|System hang|True|True|True|True
4000564809|12193780|2023-11-03 18:23:38|2023-11-03 18:23:38|RAN|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000568852|12195104|2023-11-08 13:01:02|2023-11-08 13:01:02|TUN|Others|Others|Others|Others|False|False|False|False
4000565928|12196459|2023-11-13 15:25:06|2023-11-13 15:25:06|RAN|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000568721|12201405|2023-11-26 22:22:45|2023-11-26 22:22:45|BFZ|PA - PIS|NAC|Connector Amplifier|System hang|True|True|True|True
4000568720|12201438|2023-11-27 07:13:54|2023-11-27 07:13:54|RAN|PA - PIS|IPPA|UTP Cable|System hang|True|True|True|True
4000571532|12207911|2023-12-05 18:40:56|2023-12-05 18:40:56|MAH|Others|Others|Others|Others|False|False|False|False
4000573462|12211567|2023-12-14 14:07:30|2023-12-14 14:07:30|BFZ|Others|Others|Others|Others|False|False|False|False
4000573465|12211761|2023-12-14 21:11:28|2023-12-14 21:11:28|BFZ|Others|Others|Others|Others|False|False|False|False
4000573460|12212195|2023-12-15 18:06:42|2023-12-15 18:06:42|BFZ|CTC System|KVM Switch|Power Adapter|Train TAG problem|True|True|True|True
4000573459|12212416|2023-12-16 07:03:09|2023-12-16 07:03:09|TSA|PABX|NEAX® 2000 IPS|DIGITAL CARD|Intermittent|True|True|True|True
