root_cause|department
Connector Broken|RSDM
Program Crash|RSDM
PID Damage|RSDM
MOXA Faulty|RSDM
Screen Burn|RSDM
HMI Faulty|RSDM
Card Corrupted|RSDM
PAC ChangeOver|RSDM
BNC Cable Loosen|RSDM
Processor program|RSDM
PAC faulty|RSDM
Adapter Module Faulty|RSDM
Power Supply Faulty|RSDM
T-Tap Loosen|RSDM
Panel View Faulty|RSDM
I/O Module Faulty|RSDM
Cable Damage|RSDM
EVC faulty|RSDM
BTM faulty|RSDM
Earth Shoe assembly faulty|RSDM
BTM Control Unit Card faulty|RSDM
Tag ID Faulty|RSDM
Antenna faulty|RSDM
Overtemp|RSDM
Overshoot|RSDM
BTM TXU/RXU Card faulty|RSDM
Earth unit fail|RSDM
